run_id,q,g,L,omega,center_ldos,edge_ldos,local_difference,G_1L_abs,G_L1_abs,stripped_1L_abs,covariance_error
green_green_d4703eb373b5,6.0,0.0759493670886076,80,0.1299999999999999,0.0112355888129682,0.0111040433291418,8.816765131289922e-16,2.26931438569051e-09,0.0003693417895074,9.1550676467483e-07,1.772074698470654e-15
green_green_d4703eb373b5,6.0,0.0759493670886076,80,0.1399999999999996,0.0116626314619697,0.0115363817199249,4.619448428525918e-16,2.7927467639928247e-09,0.0004545329170595,1.1266744575283655e-06,1.823385403764946e-15
green_green_d4703eb373b5,6.0,0.0759493670886076,80,0.1500000000000003,0.012153239434354,0.012025522914733,4.779784928769662e-16,3.4868804203438e-09,0.0005675064955164,1.40670796103274e-06,1.8354848345173157e-15
green_green_d4703eb373b5,6.0,0.0759493670886076,80,0.1600000000000001,0.0127176088144274,0.0125803924986376,8.519876736429637e-16,4.419784597149439e-09,0.0007193411202251,1.7830683675257722e-06,1.7812023450644616e-15
green_green_d4703eb373b5,6.0,0.0759493670886076,80,0.1699999999999999,0.0133684403580016,0.0132120536946819,4.454424009010536e-16,5.691863276033824e-09,0.0009263780202759,2.296261534175932e-06,1.991659081118555e-15
green_green_d4703eb373b5,6.0,0.0759493670886076,80,0.1799999999999997,0.0141217006788074,0.0139343474790485,5.288602614808909e-16,7.453768024748813e-09,0.0012131364601539,3.007064641199141e-06,1.721306309817476e-15
green_green_d4703eb373b5,6.0,0.0759493670886076,80,0.1900000000000004,0.0149976764029717,0.0147647756880196,7.812344074452398e-16,9.935759273867348e-09,0.0016170924282065,4.008371376290558e-06,1.712776754108144e-15
green_green_d4703eb373b5,6.0,0.0759493670886076,80,0.2000000000000001,0.0160224583611694,0.0157257394474962,1.6653345369377348e-16,1.3496898491816174e-08,0.0021966848988386,5.4450374744473144e-06,2.1925209837740737e-15
green_green_d4703eb373b5,6.0,0.0759493670886076,80,0.2099999999999999,0.0172300700515347,0.0168463077741156,6.933687780450339e-16,1.870945673344404e-08,0.003045053728214,7.547933556877856e-06,1.979178039656548e-15
green_green_d4703eb373b5,6.0,0.0759493670886076,80,0.2199999999999997,0.0186655833396142,0.0181647950385661,1.867387722342669e-15,2.6507589443192556e-08,0.004314237190847,1.0693924827467936e-05,2.270393601516404e-15
