run_id,kind,L,U,filling,g,target_g,lambda,chi,status,message,accepted,s_min,metric_violation
generalization_branch_trial_f792ce741de1,branch_trial,20,1.0,0.8,0.1,0.1,1e-13,7.389056098930651e-13,SUCCESS,SUCCESS,True,0.9999999999999994,9.401381600931744e-17
generalization_branch_trial_f79c3ab01ca0,branch_trial,40,1.0,0.8,0.05,0.05,0.09631764530259515,0.7116964844577798,FAILED,NO_SCF_CONVERGENCE,False,0.9999999999999853,0.09723404980333421
generalization_branch_trial_f7af4314a488,branch_trial,40,1.0,0.8,0.05,0.05,0.09654355808024122,0.7133657666452718,FAILED,NO_SCF_CONVERGENCE,False,0.9999999802196723,0.09760256741089272
generalization_branch_trial_f7c61f87a599,branch_trial,40,1.0,0.8,0.05,0.05,0.09654356152139155,0.7133657920721247,FAILED,NO_SCF_CONVERGENCE,False,0.999999980219711,0.09760259524506557
generalization_branch_trial_f87bf320824c,branch_trial,40,1.0,0.8,0.05,0.05,0.08204696109024992,0.6062495982426369,FAILED,NO_SCF_CONVERGENCE,False,0.9997141571490887,0.08695360542937626
generalization_branch_trial_f8cd3ec59183,branch_trial,20,2.0,1.0,0.1,0.1,0.02448436746822229,0.18091636476952713,SUCCESS,SUCCESS,True,0.999819948947155,0.01404100090991588
generalization_branch_trial_f8dcfb4f4cd7,branch_trial,40,1.0,0.8,0.05,0.05,0.1,0.7389056098930651,FAILED,NO_SCF_CONVERGENCE,False,0.9999923018917138,0.10328203409933481
generalization_branch_trial_f8debbebcb2b,branch_trial,24,3.0,0.8,0.05,0.05,0.1,0.33201169227365485,FAILED,NO_SCF_CONVERGENCE,False,0.9992336111228838,0.0639307160614001
generalization_branch_trial_f8f7de8b40fa,branch_trial,40,1.5,0.8,0.1,0.1,0.00035938136638046403,0.019621557760756952,SUCCESS,SUCCESS,True,0.999999284584095,0.00018413666109301936
generalization_branch_trial_f9207ddc8065,branch_trial,40,1.0,0.8,0.1,0.1,0.1,5.459815003314424,FAILED,COMPLEX_DENSITY: unprojected density imaginary part 1.161301e-02 exceeds tolerance 1.000000e-10,False,0.0,0.21522760172468228
generalization_branch_trial_f93991c33f3f,branch_trial,48,1.5,0.8,0.05,0.05,4.641588833612792e-09,5.116505239933034e-08,SUCCESS,SUCCESS,True,0.9999999999999992,3.5357330287718886e-10
generalization_branch_trial_f9c47fead4e7,branch_trial,20,1.5,0.8,0.1,0.1,0.1,0.7389056098930651,SUCCESS,SUCCESS,True,0.9979062769402675,0.06711383042513946
generalization_branch_trial_fa1544c8b664,branch_trial,40,1.0,0.8,0.05,0.05,0.09631764714022596,0.711696498036137,FAILED,NO_SCF_CONVERGENCE,False,0.9999999999999821,0.09723407481735147
generalization_branch_trial_fa90bc3df9b4,branch_trial,24,1.0,0.8,0.05,0.05,0.0014677992676220735,0.004873265187612358,SUCCESS,SUCCESS,True,0.9999999102217734,0.0009398432907131164
generalization_branch_trial_fb1ec68105ee,branch_trial,20,1.0,0.8,0.1,0.1,0.1,0.7389056098930651,SUCCESS,SUCCESS,True,0.9988931411743097,0.1390187331202185
generalization_branch_trial_fb3621285b72,branch_trial,40,1.0,0.8,0.05,0.05,0.09631918752180849,0.711707880002064,FAILED,NO_SCF_CONVERGENCE,False,0.9999999999987949,0.09723656785553998
generalization_branch_trial_fb7cab74897b,branch_trial,40,1.0,0.8,0.05,0.05,0.09677022731275532,0.7150406383202201,FAILED,NO_SCF_CONVERGENCE,False,0.9999999206870687,0.09797270932407232
generalization_branch_trial_fb91fff8eeba,branch_trial,24,3.0,0.8,0.05,0.05,0.1,0.33201169227365485,FAILED,NO_SCF_CONVERGENCE,False,0.9990952395601199,0.06393094437713862
generalization_branch_trial_fbb5762fefa8,branch_trial,40,1.0,0.8,0.05,0.05,0.09632093840764644,0.7117208173957434,FAILED,NO_SCF_CONVERGENCE,False,0.9999999999951819,0.09723942395550922
generalization_branch_trial_fbe5918764bd,branch_trial,24,3.0,0.8,0.05,0.05,0.0338714255909521,0.11245709330173187,SUCCESS,SUCCESS,True,0.9999968510805388,0.009288815673644391
generalization_branch_trial_fc1d04e88dc8,branch_trial,40,1.0,0.8,0.05,0.05,0.096291864801879,0.7115059908917296,SUCCESS,SUCCESS,True,0.9999999996826299,0.09719200731178985
generalization_branch_trial_fc4c42ab1e2b,branch_trial,40,1.0,0.8,0.05,0.05,0.096543559800792,0.7133657793585181,FAILED,NO_SCF_CONVERGENCE,False,0.9999999802196918,0.09760256883090526
generalization_branch_trial_fca96e933af7,branch_trial,20,2.0,0.4,0.1,0.1,1e-12,7.38905609893065e-12,SUCCESS,SUCCESS,True,0.9999999999999999,1.7040813396393401e-15
generalization_branch_trial_fcaf37b7036e,branch_trial,20,1.0,0.8,0.1,0.1,4.641588833612792e-09,3.4296960279735006e-08,SUCCESS,SUCCESS,True,0.9999999999999997,5.375370529178368e-07
generalization_branch_trial_fced16cdda52,branch_trial,20,1.0,0.8,0.1,0.1,0.1,0.7389056098930651,SUCCESS,SUCCESS,True,0.9963090526389748,0.13901880155166388
